id_oportunidade,conta,pais,estagio,data_da_venda,valor_mrr,plano,unidades_vendidas,sdr_perfil,plano_anterior_upgrade,motivo_do_upgrade,valor_nmrr_upgrade,unidades_vendidas_upgrade
1004,Urban Flats,BRASIL,Fechado - Ganho,14-fev.-2026,,Start,4,SDR Outbound,,,,
1038,Sol y Mar,Espanha,Qualificação,,490.00,Start,4,SDR Outbound,,,,
1032,Playa Norte,Hispan,Fechado - Ganho,2026-05-08,590,Enterprise,1,Customer Success - Retenção,,,,
1035,Urban Flats,Brasil,Closed Lost,,R$ 490,Business,1,SDR Inbound,,,,
1003,StayHost BR,Brasil,Fechado/Ganho,,490.00,Start,2,SDR Inbound,,,,
1008,Aluga Fácil,Brasil,Fechado/Ganho,01/02/2026,990.00,Business,5,SDR Inbound,,,,
1037,Beira-Mar Gestão,BR,Fechado/Perdido,,990,Enterprise,2,SDR BR,,,,
1028,Andes Homes,ESPANHA,Fechado - Ganho,28/05/2026,200,Start,3,SDR HP,Start,Aumento de unidades,120,3
1018,Cancún Rentals,ESPANHA,Closed Won,10/05/2026,,Pro,6,,,,,
1030,Casa & Praia,BRASIL,Fechado/Ganho,2026-04-13,,Enterprise,3,Customer Success - Retenção,,,,
1040,Playa Norte,Espanha,Fechado/Perdido,06/24/2026,690.00,Start,2,SDR BR,,,,
1039,Alquila Sur,Hispan,Qualificação,04/03/2026,690.00,Start,1,SDR BR,,,,
1005,Aluga Fácil,Brasil,Fechado/Ganho,06-abr.-2026,690.00,Enterprise,5,SDR HP,,,,
1002,Chalés do Vale,brasil,fechado/ganho,2026-02-08,,Start,2,,,,,
1023,Barcelona Flats,Hispan,Fechado/Ganho,03-jun.-2026,R$ 1.400,Start,4,SDR Inbound,,,,
1006,Casa & Praia,brasil,fechado/ganho,10-fev.-2026,1490.00,Business,5,SDR HP,,,,
1016,Alquila Sur,México,Fechado/Ganho,2026-06-19,900.00,Start,2,,,,,
1017,Playa Norte,ESPANHA,Fechado/Ganho,09/03/2026,R$ 1.400,Business,1,SDR Inbound,,,,
1029,Beira-Mar Gestão,brasil,fechado/ganho,26/03/2026,R$ 390,Start,1,Customer Success - Retenção,,,,
1024,Andes Homes,Espanha,Closed Won,25/04/2026,R$ 500,Start,1,SDR Outbound,Enterprise,Aumento de unidades,400,3
1022,Madrid Stays,ESPANHA,Closed Won,01/07/2026,450.00,Start,2,SDR HP,,,,
1015,Playa Norte,Espanha,Closed Won,04/15/2026,1400.00,Business,6,SDR Inbound,,,,
1011,StayHost BR,Brasil,Fechado - Ganho,2026-01-13,690.00,Business,2,SDR Outbound,,,,
,StayHost BR,Brasil,Fechado - Ganho,2026-01-13,690.00,Business,2,SDR Outbound,,,,
1034,Aluga Fácil,Brasil,Qualificação,,R$ 490,Start,1,SDR Inbound,,,,
1004,Urban Flats,BRASIL,Fechado - Ganho,14-fev.-2026,,Start,4,SDR Outbound,,,,
1033,Urban Flats,Brasil,Closed Lost,2026-01-09,R$ 690,Start,5,SDR BR,,,,
1014,Casa & Praia,BRASIL,Closed Won,06/08/2026,,Pro,4,SDR Outbound,,,,
1007,Serra Temporada,BRASIL,Fechado - Ganho,10/02/2026,990.00,Start,2,,,,,
1031,Andes Homes,ESPANHA,Fechado - Ganho,27-jun.-2026,R$ 390,Pro,3,Customer Success - Retenção,,,,
1010,Temporada Rio,BR,Fechado/Ganho,28/05/2026,990.00,Business,4,,,,,
1001,StayHost BR,BRASIL,Fechado/Ganho,15/06/2026,,Start,5,SDR Outbound,,,,
1008,Aluga Fácil,Brasil,Fechado/Ganho,01/02/2026,,Business,5,SDR Inbound,,,,
1020,Barcelona Flats,Hispan,Fechado/Ganho,02/05/2026,900.00,Enterprise,5,SDR Inbound,,,,
1012,Recanto Locações,BR,Fechado/Ganho,,1490.00,Business,8,SDR HP,,,,
1025,Cancún Rentals,México,Fechado/Ganho,2026-02-01,350.00,Enterprise,2,SDR Outbound,Start,Aumento de unidades,250,3
1027,Chalés do Vale,BRASIL,Fechado - Ganho,2026-03-22,R$ 350,Pro,1,,Enterprise,Aumento de unidades,400,3
1013,Litoral Homes,Brasil,Fechado/Ganho,,R$ 990,Business,4,SDR BR,,,,
1009,Temporada Rio,BR,fechado/ganho,,"1.490,00",Start,7,SDR Inbound,,,,
1036,Urban Flats,Brasil,Qualificação,03/12/2026,,Enterprise,2,,,,,
1019,Madrid Stays,Espanha,Closed Won,,1400.00,Pro,3,,,,,
1026,Litoral Homes,BR,Fechado - Ganho,14/04/2026,500.00,Pro,1,SDR BR,Business,Aumento de unidades,120,2
1021,Cancún Rentals,Espanha,Fechado/Ganho,03/05/2026,R$ 650,Pro,5,,,,,
